id,cacheDate,name,owner,salePrice,studFee,age,gender,breed,imperfectTraitsScore,totalTraitDeviancy,scoreBodyType,scoreBodySize,scoreHeadShape,scoreEars,scoreNoseLength,scoreEyeShape,scoreEyeColor,scoreCoat,scoreColor,scoreTail,scoreLegs,bodyType,bodySize,headShape,earSize,earCurl,noseLength,eyeShape,eyeColor,eyeDepth,tail,legs,coatLength,coatTexture,coatBaseColor,coatBicolor,coatTabbyPattern,coatAlbino,coatGhostMarking,coatRufused,coatGolden,coatSilver,coatSmoke,showPoints,ageOfMostRecentOffspring,ableToGetPregnant,fullness,health,coatCondition,activeness,attitude,mood
2016657,2022-12-28,﴾Chant﴿ Mirror Bravewish {Stray},Chant’s ℂ✩ Neverending Studio Projects (#19181),1,0,31,female,mixed breed,7,35,5,-14,4,-1,-4,-6,1,0,0,0,0,15,3,17,14,straight,15,13,blue,pale,normal,normal,shorthair,,seal,bicolor,mackerel tabby,point,False,False,False,False,False,0,0,True,99.99,99.99,69.00,77.00,51.96,51.00
2010385,2022-12-28,#Cookie Imora - SH,Enakhra ~James' Rehab and Retirement Center~ (#146955),1,0,33,female,mixed breed,7,35,2,-5,-6,-5,-11,-3,3,0,0,0,0,12,12,7,10,straight,8,16,grey-green,pale,normal,normal,shorthair,,natural,,,mink,False,False,False,False,False,0,0,True,4.99,7.99,0.00,22.00,78.99,75.00
2007895,2022-12-28,#Northumbria,Rescue Shelter,200,0,43,female,mixed breed,7,35,-4,2,1,-9,-9,-9,1,0,0,0,0,6,19,14,6,straight,10,10,blue,medium,normal,normal,shorthair,,seal,,ticked tabby,point,False,True,True,False,False,0,0,True,99.99,4.00,9.00,12.00,83.99,90.00
2015196,2022-12-28,#2015196,Almalexia | Tigraunda Revival (#70878),100,0,11,female,mixed breed,8,35,6,3,1,4,-10,-6,3,0,2,0,0,16,20,14,19,straight,9,13,yellow,medium,normal,normal,shorthair,,black,bicolor,mackerel tabby,,False,True,False,False,False,0,0,True,99.99,90.71,3.40,53.00,79.92,50.00
2001852,2022-12-28,#Aztec Smoke DNS,Rescue Shelter,200,0,70,female,mixed breed,9,35,3,-4,-5,-8,-8,-2,1,2,2,0,0,13,13,8,7,straight,11,17,blue,medium,normal,normal,longhair,rex III,champagne,,mackerel tabby,,False,False,False,False,False,0,0,True,99.99,8.99,0.00,49.40,82.13,92.00
2007640,2022-12-28,#Nicki,CinnamonFawnCats13  (#222218),1,0,45,female,mixed breed,6,36,-8,2,0,-6,-10,-8,0,2,0,0,0,2,19,13,9,straight,9,11,blue,deep,normal,normal,longhair,rex I,seal,bicolor,,point,True,False,False,False,True,0,0,True,99.99,73.92,0.00,37.00,99.86,50.00
2013901,2022-12-28,#Peach Sunrise,Cloudy Cattery Ragdolls (#267820),300,0,17,female,mixed breed,6,36,-8,2,0,-6,-10,-8,0,2,0,0,0,2,19,13,9,straight,9,11,blue,deep,normal,normal,longhair,,fawn,bicolor,mackerel tabby,point,True,True,False,False,False,0,0,True,89.99,84.99,86.59,45.50,99.99,53.00
2011013,2022-12-28,Stray Sinyoa of Esja,Almalexia | Tigraunda Revival (#70878),100,0,35,female,mixed breed,7,36,-5,-4,0,4,-5,-13,3,0,2,0,0,5,13,13,18,folded,14,6,green,medium,normal,normal,shorthair,,black,bicolor,mackerel tabby,,False,False,False,False,False,0,19,True,99.99,85.99,60.80,19.00,76.43,50.00
2009532,2022-12-28,#2009532,Almalexia | Tigraunda Revival (#70878),100,0,36,female,mixed breed,7,36,6,2,0,-7,-7,-9,3,0,2,0,0,16,19,13,8,straight,12,10,green,medium,normal,normal,shorthair,,black,bicolor,,,False,False,False,False,True,0,0,True,99.99,89.41,3.40,65.00,84.78,50.00
2004516,2022-12-28,#C4T Cindy,Rescue Shelter,200,0,57,female,mixed breed,7,36,-7,2,0,-5,-9,-8,3,2,0,0,0,3,19,13,10,straight,10,11,grey-green,medium,normal,normal,longhair,,natural,,,mink,False,False,False,False,True,0,42,True,99.99,48.99,0.00,51.00,99.78,74.00
