id,cacheDate,name,owner,salePrice,studFee,age,gender,breed,imperfectTraitsScore,totalTraitDeviancy,scoreBodyType,scoreBodySize,scoreHeadShape,scoreEars,scoreNoseLength,scoreEyeShape,scoreEyeColor,scoreCoat,scoreColor,scoreTail,scoreLegs,bodyType,bodySize,headShape,earSize,earCurl,noseLength,eyeShape,eyeColor,eyeDepth,tail,legs,coatLength,coatTexture,coatBaseColor,coatBicolor,coatTabbyPattern,coatAlbino,coatGhostMarking,coatRufused,coatGolden,coatSilver,coatSmoke,showPoints,ageOfMostRecentOffspring,ableToGetPregnant,fullness,health,coatCondition,activeness,attitude,mood
2010513,2022-12-28,#2010513,Stormclan123 Mina (#167498),25,0,34,male,mixed breed,8,23.5,3.5,-2.5,0.5,-2.0,-4.5,-6.5,2,2,0,0,0,15.5,14.5,12.5,13.0,straight,14.5,11.5,hazel,deep,normal,normal,longhair,,black,,,,False,False,False,False,False,0,0,,99.99,90.99,0.00,36.00,86.91,50.00
2006726,2022-12-28,#2006726,Stormclan123 Mina (#167498),25,0,50,male,mixed breed,8,23.5,0.5,-6.0,1.0,-1.5,-5.0,-4.5,3,2,0,0,0,12.5,11.0,13.0,13.5,straight,14.0,13.5,aqua,pale,normal,normal,longhair,,natural,,,mink,False,False,False,False,True,0,0,,99.99,93.99,0.00,33.00,92.78,50.00
2012292,2022-12-28,ᖘ Qismat 3ex,InuSessgurl  (#87898),0,50,25,male,Ultra Curl,8,23.5,2.0,-3.5,1.0,-3.5,-5.0,-4.5,2,2,0,0,0,14.0,13.5,13.0,12.5,curled,14.0,13.5,bronze,deep,normal,normal,longhair,LaPerm,black,bicolor,spotted tabby,,False,False,False,False,False,0,0,,99.99,94.49,69.99,35.40,99.86,50.00
2007577,2022-12-28,#⊱Ƥ⊰ Quill,Pine's Cattery  (#174666),0,55,46,male,Selendis,8,23.5,1.5,-3.5,-0.5,-3.5,-5.5,-4.0,3,2,0,0,0,13.5,13.5,11.5,11.5,straight,13.5,14.0,bronze-olive,medium,normal,normal,shorthair,wirehair,fawn,van,classic tabby,,False,False,False,True,False,0,0,,84.99,85.41,12.00,37.00,43.91,50.00
2008556,2022-12-28,Violettail,C0LDC00L  (#268637),0,75,43,male,mixed breed,8,23.5,1.0,-3.5,-2.0,0.5,-6.5,-6.0,2,2,0,0,0,13.0,13.5,10.0,15.5,straight,12.5,12.0,blue,deep,normal,normal,hairless,,lilac,harlequin,,,False,False,False,False,True,0,0,,2.49,4.49,8.50,75.15,99.99,82.00
2002188,2022-12-28,Celebration's Kurt,Cats' Celebration Rainbow Cattery (#51829),0,100,70,male,Rainbow Lynx,8,23.5,-4.5,-5.5,1.5,-0.5,-5.0,-3.5,2,0,0,1,0,7.5,11.5,13.5,14.5,straight,14.0,14.5,bronze,deep,short (bobtail),normal,shorthair,,fawn,bicolor,ticked tabby,,False,False,False,True,False,0,0,,99.99,96.99,65.60,19.00,85.06,50.00
2002196,2022-12-28,Celebration's Zander,Cats' Celebration Rainbow Cattery (#51829),0,100,70,male,Rainbow Lynx,8,23.5,-4.5,-5.5,1.5,-0.5,-5.0,-3.5,2,0,0,1,0,7.5,11.5,13.5,14.5,straight,14.0,14.5,hazel,deep,short (bobtail),normal,shorthair,,chocolate,harlequin,classic tabby,,False,False,False,False,False,0,0,,99.99,92.99,80.80,29.00,86.66,50.00
2010177,2022-12-28,SJ [3] Gratitude Kinder Bouncy,Nykkei GN's other account (#41511),900,0,36,male,Smoky Joe,8,23.5,-2.0,-3.0,-0.5,-3.0,-5.5,-5.5,2,2,0,0,0,10.0,14.0,11.5,12.0,straight,13.5,12.5,blue,deep,normal,normal,longhair,,cinnamon,,,point,False,True,True,False,True,0,0,,94.99,98.93,0.00,0.00,99.71,50.00
2015101,2022-12-28,RPF Panasonic,kend8138 (#171707),1000,0,12,male,Ultra Curl,8,23.5,2.0,-3.0,0.5,-4.0,-4.5,-5.5,2,2,0,0,0,14.0,14.0,12.5,12.0,curled,14.5,12.5,grey-green,deep,normal,normal,shorthair,LaPerm,red,,spotted tabby,,False,False,False,True,False,0,0,,89.99,97.99,5.50,53.00,99.96,50.00
2010376,2022-12-28,#⊱Ƥ⊰ Osiris 0ex,Pine's Cattery  (#174666),0,55,34,male,Ultra Curl,9,23.5,2.0,-2.5,1.0,-4.0,-3.5,-4.5,3,2,0,1,0,14.0,14.5,13.0,12.0,curled,15.5,13.5,hazel,medium,short (bobtail),normal,shorthair,LaPerm,chocolate,,,,False,False,False,False,True,0,0,,84.99,83.35,36.00,48.00,90.94,50.00
2002190,2022-12-28,Celebration's Hannes,Cats' Celebration Rainbow Cattery (#51829),0,100,70,male,Rainbow Lynx,9,23.5,-3.5,-5.5,1.5,-0.5,-5.0,-2.5,2,2,0,1,0,8.5,11.5,13.5,14.5,straight,14.0,15.5,bronze,deep,short (bobtail),normal,longhair,,cinnamon,bicolor,spotted tabby,,False,False,False,True,False,0,0,,99.99,94.03,68.60,2.04,93.26,50.00
2009736,2022-12-28,Grand Regional Champion #[Cat-Tea] Back To The Gate {Ͼ└ 7ex},~Mezzmeric~ Cat-Tea Chaos! (#27293),0,200,36,male,Lorem,6,24.0,0.0,-6.5,-3.0,-2.0,-7.5,-3.0,2,0,0,0,0,12.0,10.5,9.0,14.0,curled,11.5,15.0,aqua,deep,normal,normal,shorthair,,cream,,mackerel tabby,,False,False,False,False,False,3950,0,,99.99,99.99,94.99,38.40,95.45,50.00
2013084,2022-12-28,#2013084,Love Shines Sales and Other Projects (#178998),1,0,22,male,mixed breed,7,24.0,-3.0,-3.5,-0.5,-4.5,-4.0,-5.5,3,0,0,0,0,9.0,13.5,11.5,10.5,straight,15.0,12.5,aqua,pale,normal,normal,shorthair,,natural,bicolor,spotted tabby,mink,False,False,False,False,False,0,0,,74.99,94.99,0.00,53.00,97.92,50.00
2005288,2022-12-28,#[CGC] IceSable Mirage-Legend // (Crex) ⭕ (Y**2) r*,CatGhostCat (#168633),0,10,57,male,mixed breed,7,24.0,0.5,-5.5,-3.0,0.0,-7.5,-2.5,3,2,0,0,0,12.5,11.5,9.0,15.0,straight,11.5,15.5,green,medium,normal,normal,shorthair,rex I,sable,,classic tabby,,False,True,False,False,False,0,0,,4.99,10.00,13.00,51.00,99.97,84.00
2008408,2022-12-28,#2008408 dane cat 3ex,InuSessgurl  (#87898),0,50,43,male,Cander Kitten,7,24.0,0.0,-5.0,-3.0,-1.5,-4.5,-6.0,2,2,0,0,0,12.0,12.0,9.0,13.5,straight,14.5,12.0,aqua/deep blue odd-eyed,deep,normal,normal,longhair,,chocolate,van,spotted tabby,,False,False,False,False,False,0,0,,99.99,75.99,0.00,47.00,99.57,50.00
2008888,2022-12-28,Pasco E6,Angelaura  (#149907),0,100,41,male,Cander Kitten,7,24.0,0.5,-4.0,-2.0,-3.0,-6.5,-5.0,3,0,0,0,0,12.5,13.0,10.0,13.0,folded,12.5,13.0,green,medium,normal,normal,shorthair,satin,sable,bicolor,,,False,False,False,False,False,0,0,,99.99,86.49,0.00,47.00,82.69,50.00
